# id	name	entry	idglob	caller	site
429	g	143395AB0	142AE05E8	1400831C0	140089E60
430	b	143395AF8	142AE0608	1400831C0	140089E99
431	a	143395B40	142AE0624	1400831C0	140089ED2
432	shader	143395B88	142AE0644	1400831C0	140089F0B
433	roll	143395BD0	142AE0664	1400831C0	140089F44
434	particle_pitch	143395C18	142AE0688	1400831C0	140089F7D
435	particle_roll	143395C60	142AE06A4	1400831C0	140089FB6
436	intensity	143395CA8	142AE06C8	1400831C0	140089FEF
437	radius	143395CF0	142AE06E8	1400831C0	14008A028
438	entity	143395D38	142AE0704	1400831C0	14008A061
439	state	143395D80	1427AEC10	1400831C0	14008A09A
440	event	143395DC8	142AE0740	1400831C0	14008A0D3
441	sound	143395E10	142AE075C	1400831C0	14008A10C
442	animation_speed	143395E58	142AE077C	1400831C0	14008A145
443	animation_blend_time	143395EA0	142AE07A0	1400831C0	14008A17E
444	loop_animation	143395EE8	142AE07BC	1400831C0	14008A1B7
445	min_gui	143395F30	142AE07E0	1400831C0	14008A1F0
446	chance	143395F78	142AE0800	1400831C0	14008A229
447	clone_entity	143395FC0	142AE081C	1400831C0	14008A262
448	keep_particle	143396008	142AE083C	1400831C0	14008A29B
449	clone	143396050	142AE085C	1400831C0	14008A2D4
450	loop_time	143396098	142AE0880	1400831C0	14008A30D
451	frame_animation	1433960E0	142AE089C	1400831C0	14008A346
452	animation_rate_fps	143396128	142AE08BC	1400831C0	14008A37F
453	animation_rate_spf	143396170	142AE08E0	1400831C0	14008A3B8
454	looping	1433961B8	142AE0900	1400831C0	14008A3F1
455	play_on_show	143396200	142AE0920	1400831C0	14008A42A
456	frameAnimatedSpriteType	143396248	142AE093C	1400831C0	14008A463
457	pause_on_loop	143396290	142AE0960	1400831C0	14008A49C
458	hint_tag	1433962D8	142AE0980	1400831C0	14008A4D5
459	disable_time_widget	143396320	142AE09A0	1400831C0	14008A50E
460	childsystem	143396368	142AE09C0	1400831C0	14008A547
461	border_color	1433963B0	142AE09E0	1400831C0	14008A580
462	always_load	1433963F8	142AE0A00	1400831C0	14008A5B9
463	tags	143396440	142AE0A20	1400831C0	14008A5F2
464	picture	143396488	142AE0A3C	1400831C0	14008A62B
465	emission_pulse_duration	1433964D0	142AE0A5C	1400831C0	14008A664
466	emission_pulse_silence	143396518	142AE0A7C	1400831C0	14008A69D
467	greater_than	143396560	142AE0AA0	1400831C0	14008A6D6
468	less_than	1433965A8	142AE0ABC	1400831C0	14008A70F
469	borderless	14338D950	142ADCC7C	1400831C0	1400837F4
470	alwaystransparent	143393BC0	142ADF82C	1400831C0	1400885E2
471	division	1433965F0	142AE0ADC	1400831C0	14008A748
