# CPersistent family 1.19.3 — fingerprint slot1=0x1424BEC50 & slot3=0x1424BE690
# class	vtable	writer[2]	reader[4]	slots(到下一RTTI表距离,非定案)
CHighlightStates	0x1427eb240	0x14012a2c0	0x1407345b0	9
CHintOpener	0x142a27b78	0x14012a2c0	0x1419ca560	9
CHistoricalAgency	0x1427df060	0x14012a2c0	0x140621f70	27
CHistoryEntry	0x14293c0c8	0x14012a2c0	0x1424bec40	54
CHostileAttitude	0x1427e03d8	0x14012a2c0	0x1424bec40	18
CHourlyTickCommand	0x142976f78	0x14226a110	0x142269e60	24
CHqDeploymentDistributable	0x142a1ce50	0x14193eed0	0x14193eb10	227
CHuman	0x142720da8	0x140bbc970	0x140bbc7f0	9
CIdeaCategory	0x142981648	0x14012a2c0	0x140fd59e0	291
CIdeaGroupType	0x142946650	0x14012a2c0	0x140fd5de0	71
CIdeology	0x14293c6d0	0x14012a2c0	0x1411916c0	9
CIdeologyGroup	0x14293c680	0x14012a2c0	0x141191720	9
CIgnoreAllAvailableDecisionCommand	0x142996e08	0x14226a110	0x142269e60	24
CIgnoreDecisionCommand	0x142996c28	0x14226a110	0x142269e60	34
